Top_Pins,,,,,,,,,,,,,,,,,,,,,,,,,
wow,A2,A3,A4,A5,GND,A6,A7,A8,B1,B2,B3,B4,B5,GND,B6,B7,B8,C1,C2,,,,,,
C3,C4,C5,C6,C7,5V,D1,D2,GPIO 29,GPIO 30,GPIO 31,GPIO 32,GPIO 33,GPIO 34,3.3V,GPIO 36,GPIO 37,GPIO 38,GPIO 39,GPIO 40,,,,,,
Bottom_Pins,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO 41,GPIO 42,GPIO 43,GPIO 44,GPIO 45,3.3V,GPIO 47,GPIO 48,GPIO 49,GPIO 50,GPIO 51,GPIO 52,GPIO 53,GPIO 54,5V,GPIO 56,GPIO 57,GPIO 58,GPIO 59,GPIO 60,,,,,,
GPIO 61,GPIO 62,GPIO 63,GPIO 64,GPIO 65,GND,GPIO 67,GPIO 68,GPIO 69,GPIO 70,GPIO 71,GPIO 72,GPIO 73,GPIO 74,GND,GPIO 76,GPIO 77,GPIO 78,GPIO 79,A1,,,,,,
General Purpose,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,D1,D2
0.5 - 2GHz,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
2 - 3.5GHz,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
2.5 - 3.5GHz,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
3 - 4.5GHz,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
4 - 5GHz,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
5 - 6GHz,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
5.5 - 8.5GHz,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1
8 - 11GHz,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
10.5 - 13.5GHz,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
13 - 16GHz,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1
15.5 - 18GHz,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
